"Date","Open","High","Low","Close","Volume","Adjusted","Year","Month","Month_Number","Daily_Return","Log_Return","Price_Range","SMA_20","SMA_50","SMA_200","RSI_14","Rolling_Volatility_30","SPY_Adjusted","SPY_Return","Raw_Signal","Position","Trade","Gross_Strategy_Return","Net_Strategy_Return","Buy_Hold_Return","Benchmark_Return","Buy_Hold_Cumulative","Benchmark_Cumulative","Gross_Strategy_Cumulative","Net_Strategy_Cumulative"
2020-03-13,5.76249980926514,6.02549982070923,5.49025011062622,6.02099990844727,634836000,5.99748373031616,2020,"Mar",3,0.113401725105724,0.107419946169451,0.535249710083008,6.72911763191223,6.40451504707336,NA,44.5399807935145,0.848296681010957,246.122817993164,0.0854862101724991,1,0,0,0,0,0.113401725105724,0.0854862101724991,0.113401725105724,0.0854862101724991,0,0
2020-03-16,5.31024980545044,5.65250015258789,4.84999990463257,4.90999984741211,726972000,4.89082479476929,2020,"Mar",3,-0.184520539831216,-0.203979044033131,0.802500247955322,6.61305177211761,6.38291645050049,NA,35.4107268318789,0.999230980281053,219.191146850586,-0.10942370708321,1,1,1,-0.184520539831216,-0.185520539831216,-0.184520539831216,-0.10942370708321,-0.0920437622597914,-0.0332917149322798,-0.184520539831216,-0.185520539831216
2020-03-17,5.02274990081787,5.52150011062622,4.77500009536743,5.43174982070923,833632000,5.41053628921509,2020,"Mar",3,0.106262545941459,0.100987258239725,0.746500015258789,6.51453468799591,6.37362345695496,NA,41.4772922585548,1.04802767467015,231.025726318359,0.0539920504902536,1,1,0,0.106262545941459,0.106262545941459,0.106262545941459,0.0539920504902536,0.00443797916591238,0.0189028476044431,-0.0978656162307143,-0.0989718787766558
2020-03-18,5.00250005722046,5.24849987030029,4.51700019836426,5.07049989700317,874268000,5.05069732666016,2020,"Mar",3,-0.0665070786554384,-0.0688218989487014,0.731499671936035,6.37546513080597,6.35664090156555,NA,38.7625688596934,1.06081478918904,219.328216552734,-0.0506329314576227,1,1,0,-0.0665070786554384,-0.0665070786554384,-0.0665070786554384,-0.0506329314576227,-0.0623642565189846,-0.0326871904402893,-0.157863938649834,-0.158896626905619
2020-03-19,5.04899978637695,5.41825008392334,4.83475017547607,5.32425022125244,765512000,5.30345630645752,2020,"Mar",3,0.0500443727766406,0.0488324230637892,0.583499908447266,6.25649969577789,6.34328498840332,NA,41.651441601565,1.07121795227629,219.794311523438,0.00212510263398347,0,1,0,0.0500443727766406,0.0500443727766406,0.0500443727766406,0.00212510263398347,-0.0154408638435181,-0.0306315514408081,-0.115719767666974,-0.116804136158794
2020-03-20,5.47499990463257,5.75799989700317,5.12825012207031,5.14375019073486,804636000,5.1236629486084,2020,"Mar",3,-0.0339011669861791,-0.0344891383945844,0.629749774932861,6.14674978256226,6.32610922813415,NA,40.1987425653297,1.07356371071322,210.32243347168,-0.0430942820408152,0,0,1,0,-0.001,-0.0339011669861791,-0.0430942820408152,-0.0488185675261272,-0.0724057887644853,-0.115719767666974,-0.117687332022635
2020-03-23,5.14274978637695,5.41200017929077,4.96299982070923,5.31724977493286,643876000,5.29648399353027,2020,"Mar",3,0.0337299792463541,0.0331736000546559,0.449000358581543,6.0715115070343,6.31107582092285,NA,42.2825631046989,1.07914086751712,204.944854736328,-0.0255682603447799,0,0,0,0,0,0.0337299792463541,-0.0255682603447799,-0.0167352375492661,-0.0961227590516658,-0.115719767666974,-0.117687332022635
2020-03-24,5.72499990463257,6.31650018692017,5.70125007629395,6.22949981689453,1101644000,6.20516967773438,2020,"Mar",3,0.171563944177699,0.158339560641022,0.615250110626221,6.05568182468414,6.31356905937195,NA,51.7941226789182,1.18535973667909,223.513565063477,0.0906034472104118,0,0,0,0,0,0.171563944177699,0.0906034472104118,0.15195754326773,-0.0142283651667107,-0.115719767666974,-0.117687332022635
2020-03-25,6.34499979019165,6.54549980163574,6.09149980545044,6.14050006866455,793432000,6.11651945114136,2020,"Mar",3,-0.0142865112796376,-0.0143895459969864,0.453999996185303,6.02845115661621,6.31047654151917,NA,50.9126252809098,1.18492136636293,226.859588623047,0.0149701140448459,0,0,0,0,0,-0.0142865112796376,0.0149701140448459,0.135500088832172,0.00052874862891783,-0.115719767666974,-0.117687332022635
2020-03-26,6.34849977493286,6.55550003051758,6.25,6.43100023269653,696108000,6.4058837890625,2020,"Mar",3,0.0473086598076864,0.0462236924610362,0.305500030517578,6.03422849178314,6.31551069259644,NA,53.6835556057114,1.19192592118148,240.105850219727,0.0583896923955454,0,0,0,0,0,0.0473086598076864,0.0583896923955454,0.189219076246331,0.0589493144942603,-0.115719767666974,-0.117687332022635
